"","School","Enrollment","Year","Type"
"350","Trinity College",2371,"1314","Private"
"351","Tunxis Community College",2691,"1314","Public"
"352","University Of Bridgeport",4155,"1314","Private"
"353","University Of Connecticut",24161,"1314","Public"
"354","University Of Connecticut",589,"1314","Public"
"355","University Of Connecticut",1133,"1314","Public"
"356","University Of Connecticut",2120,"1314","Public"
"357","University Of Hartford",6366,"1314","Private"
"358","University Of New Haven",6392,"1314","Private"
"359","University Of Phoenix-Connecticut",17,"1314","Proprietary"
"360","University Of Saint Joseph",1969,"1314","Private"
"361","Vinal Technical High School",40,"1314","Public"
"362","W F Kaynor Technical High School",41,"1314","Public"
"363","Wesleyan University",3262,"1314","Private"
"364","Western Connecticut State University",5117,"1314","Public"
"365","Windham Memorial Hospital-Radiologic Technology Program",24,"1314","Private"
"366","Windham Technical High School",19,"1314","Public"
"367","Yale University",14111,"1314","Private"
"368","Yale-New Haven Hospital Dietetic Internship",10,"1314","Private"
