State,School.Type,Year,Sum.Type.loan,Sum.Type.grant,Sum.Type.campus,Total.Disbursement
AK,Private,1213,4497423,696253.39,118814,5312490.39
AK,Proprietary,1213,27952228,13692383.45,676206,42320817.45
AK,Public,1213,75633641,25915927.18,1652871,103202439.2
AL,Private,1213,260463987,50398665.77,8949441,319812093.8
AL,Proprietary,1213,277648482,118500750.6,3209599,399358831.6
AL,Public,1213,1054799161,393272945.5,26999859,1475071965
AR,Private,1213,106604790,26012104.55,4341576,136958470.6
AR,Proprietary,1213,13802678,9477751.79,8024,23288453.79
AR,Public,1213,568986240,279555442.8,15074477,863616159.8
AZ,Private,1213,44138880,3013059.4,1426026,48577965.4
AZ,Proprietary,1213,3852199462,1198392748,24359172,5074951382
AZ,Public,1213,1078891066,474884456.4,24883632,1578659154
CA,Private,1213,3665149120,251994389.7,117653583,4034797093
CA,Proprietary,1213,2795901605,949727328,40795707,3786424640
CA,Public,1213,2976996591,2751822547,170032279,5898851417
CO,Private,1213,287982320,20504132.02,9058697,317545149
CO,Proprietary,1213,602159975,155011503.4,9483304,766654782.4
CO,Public,1213,1120449650,316387568,25283385,1462120603
CT,Private,1213,478755895,47275668.85,25952764,551984327.9
CT,Proprietary,1213,204209409,78558034.45,2909633,285677076.5
CT,Public,1213,361139116,140602674,11422323,513164113
DC,Private,1213,915202179,38812195.84,27985428,981999802.8
DC,Proprietary,1213,593568681,94682102.59,2673621,690924404.6
DC,Public,1213,29587690,9790191,856492,40234373
DE,Private,1213,96321067,16891634.37,1317595,114530296.4
DE,Proprietary,1213,8880708,5348947.19,73150,14302805.19
DE,Public,1213,143177443,39741444.95,4275059,187193947
FL,Private,1213,1897072141,251919172.8,38739539,2187730853
FL,Proprietary,1213,1376452469,559330868.9,17806759,1953590097
FL,Public,1213,2295965841,1348921332,54002524,3698889697
GA,Private,1213,786256995,96299745.41,23841205,906397945.4
GA,Proprietary,1213,444960658,141046629.7,10136483,596143770.7
GA,Public,1213,1678278048,761317952.9,29395213,2468991214
HI,Private,1213,52992412,13253950.89,1381606,67627968.89
HI,Proprietary,1213,4580286,2672408.91,30349,7283043.91
HI,Public,1213,151576672,67912583.98,5684614,225173870
IA,Private,1213,520015477,66238571.42,28814697,615068745.4
IA,Proprietary,1213,669638834,163741112.5,7318756,840698702.5
IA,Public,1213,672134116,199367966.7,17846921,889349003.7
ID,Private,1213,64824809,56036175.77,1191702,122052686.8
ID,Proprietary,1213,22039135,10275781.28,85493,32400409.28
ID,Public,1213,315448094,128001863.8,7761386,451211343.8
IL,Private,1213,2262729678,201086388.1,86024828,2549840894
IL,Proprietary,1213,1529299277,351825409.5,37122039,1918246726
IL,Public,1213,1426046214,673057135.3,45347506,2144450855
IN,Private,1213,610537413,97092340.99,32225946,739855700
IN,Proprietary,1213,741230019,313481793.2,11490703,1066202515
IN,Public,1213,1386675644,457827924.2,38004916,1882508484
KS,Private,1213,220808502,46442916.28,9662612,276914030.3
KS,Proprietary,1213,76337472,32661635.94,264063,109263170.9
KS,Public,1213,623518112,209703718.3,19832199,853054029.3
KY,Private,1213,258126999,58591685.82,24162747,340881431.8
KY,Proprietary,1213,156604029,47967759.66,1703583,206275371.7
KY,Public,1213,931577382,336564073.7,26636782,1294778238
LA,Private,1213,266028101,28987519.24,13999975,309015595.2
LA,Proprietary,1213,100062309,52313505.64,1365799,153741613.6
LA,Public,1213,768087824,331268671.8,19529669,1118886165
MA,Private,1213,2024473770,160451089.9,128331897,2313256757
MA,Proprietary,1213,81346146,34152194.26,1312766,116811106.3
MA,Public,1213,675665916,299734576.1,29844135,1005244627
MD,Private,1213,343178509,31644062.01,15417921,390240492
MD,Proprietary,1213,86737730,48332737.1,1524094,136594561.1
MD,Public,1213,1043124709,333823296.1,25968200,1402916205
ME,Private,1213,170961808,16424967.86,10724839,198111614.9
ME,Proprietary,1213,14228016,13545253.78,169811,27943080.78
ME,Public,1213,203575886,80030660,17957992,301564538
MI,Private,1213,910118097,182569402.8,29190788,1121878288
MI,Proprietary,1213,137651835,81508225.76,1568374,220728434.8
MI,Public,1213,2237244704,755999670.7,77109400,3070353775
MN,Private,1213,530318313,61765788.28,33682134,625766235.3
MN,Proprietary,1213,1609839129,149150666.7,7407926,1766397722
MN,Public,1213,1154624805,344278704.3,33236215,1532139724
MO,Private,1213,1166889529,153774428.3,39397205,1360061162
MO,Proprietary,1213,166570072,78092188.74,2527522,247189782.7
MO,Public,1213,918588301,366218683.2,24389561,1309196545
MS,Private,1213,155764620,26829980.71,3903086,186497686.7
MS,Proprietary,1213,5602015,5921865.89,42562,11566442.89
MS,Public,1213,585537499,339194810.9,23481569,948213878.9
MT,Private,1213,24605854,6093024.24,1317676,32016554.24
MT,Proprietary,1213,2839188,2001645,0,4840833
MT,Public,1213,220402197,73444166.26,8818606,302664969.3
NC,Private,1213,693387745,116477343.1,32341041,842206129.1
NC,Proprietary,1213,116386603,18243278.84,1230127,135860008.8
NC,Public,1213,1463246769,791707478.5,35395004,2290349252
ND,Private,1213,27699194,7334638.5,1748688,36782520.5
ND,Proprietary,1213,2880106,1188482.84,0,4068588.84
ND,Public,1213,178533941,39672956.59,8949466,227156363.6
NE,Private,1213,307023716,29331725.59,9546037,345901478.6
NE,Proprietary,1213,21159650,8106863.61,181149,29447662.61
