"","State","School.Type","Year","Sum.Type.campus"
"272","FL","Proprietary","1213",17806759
"273","FL","Proprietary","1314",15304919
"274","FL","Public","1011",48231933
"275","FL","Public","1112",51386965
"276","FL","Public","1213",54002524
"277","FL","Public","1314",54750777
"278","GA","Private","1011",20555818
"279","GA","Private","1112",21772694
"280","GA","Private","1213",23841205
"281","GA","Private","1314",23008728
"282","GA","Proprietary","1011",8687343
"283","GA","Proprietary","1112",7163265
"284","GA","Proprietary","1213",10136483
"285","GA","Proprietary","1314",8963511
"286","GA","Public","1011",26765300
"287","GA","Public","1112",29390522
"288","GA","Public","1213",29395213
"289","GA","Public","1314",30229572
"290","HI","Private","1011",1596711
"291","HI","Private","1112",1313242
"292","HI","Private","1213",1381606
"293","HI","Private","1314",1400341
"294","HI","Proprietary","1011",28628
"295","HI","Proprietary","1112",30189
"296","HI","Proprietary","1213",30349
"297","HI","Proprietary","1314",39207
"298","HI","Public","1011",5953535
"299","HI","Public","1112",5518570
"300","HI","Public","1213",5684614
"301","HI","Public","1314",6024046
"302","IA","Private","1011",24947346
"303","IA","Private","1112",25917898
"304","IA","Private","1213",28814697
"305","IA","Private","1314",29515837
"306","IA","Proprietary","1011",9727981
"307","IA","Proprietary","1112",13174322
"308","IA","Proprietary","1213",7318756
"309","IA","Proprietary","1314",6968090
"310","IA","Public","1011",17879211
"311","IA","Public","1112",17357755
"312","IA","Public","1213",17846921
"313","IA","Public","1314",18481935
"314","ID","Private","1011",1150927
"315","ID","Private","1112",1202479
"316","ID","Private","1213",1191702
"317","ID","Private","1314",1340968
"318","ID","Proprietary","1011",153617
"319","ID","Proprietary","1112",116700
"320","ID","Proprietary","1213",85493
"321","ID","Proprietary","1314",71025
"322","ID","Public","1011",7650847
"323","ID","Public","1112",7635774
"324","ID","Public","1213",7761386
"325","ID","Public","1314",8572008
"326","IL","Private","1011",85822112
"327","IL","Private","1112",81795508
"328","IL","Private","1213",86024828
"329","IL","Private","1314",86754380
"330","IL","Proprietary","1011",40107356
"331","IL","Proprietary","1112",37907679
"332","IL","Proprietary","1213",37122039
"333","IL","Proprietary","1314",33520780
"334","IL","Public","1011",43933655
"335","IL","Public","1112",46142513
"336","IL","Public","1213",45347506
"337","IL","Public","1314",48039315
"338","IN","Private","1011",32996728
"339","IN","Private","1112",31079622
"340","IN","Private","1213",32225946
"341","IN","Private","1314",34041402
"342","IN","Proprietary","1011",10798658
"343","IN","Proprietary","1112",7686879
"344","IN","Proprietary","1213",11490703
"345","IN","Proprietary","1314",12020670
"346","IN","Public","1011",35930747
"347","IN","Public","1112",35355075
"348","IN","Public","1213",38004916
"349","IN","Public","1314",38411353
"350","KS","Private","1011",9365150
"351","KS","Private","1112",9073257
"352","KS","Private","1213",9662612
"353","KS","Private","1314",10089172
"354","KS","Proprietary","1011",294772
"355","KS","Proprietary","1112",298392
"356","KS","Proprietary","1213",264063
"357","KS","Proprietary","1314",264280
"358","KS","Public","1011",19125590
"359","KS","Public","1112",19436031
"360","KS","Public","1213",19832199
"361","KS","Public","1314",20361117
"362","KY","Private","1011",23731205
"363","KY","Private","1112",23842658
"364","KY","Private","1213",24162747
"365","KY","Private","1314",24492353
"366","KY","Proprietary","1011",1791214
"367","KY","Proprietary","1112",1959524
"368","KY","Proprietary","1213",1703583
"369","KY","Proprietary","1314",1521263
"370","KY","Public","1011",25569978
"371","KY","Public","1112",25468734
"372","KY","Public","1213",26636782
"373","KY","Public","1314",26961603
"374","LA","Private","1011",15407464
"375","LA","Private","1112",13281757
"376","LA","Private","1213",13999975
"377","LA","Private","1314",14257725
"378","LA","Proprietary","1011",1845855
"379","LA","Proprietary","1112",1789687
"380","LA","Proprietary","1213",1365799
"381","LA","Proprietary","1314",902566
"382","LA","Public","1011",19329711
"383","LA","Public","1112",19030443
"384","LA","Public","1213",19529669
"385","LA","Public","1314",22071091
"386","MA","Private","1011",129844547
"387","MA","Private","1112",127909174
"388","MA","Private","1213",128331897
"389","MA","Private","1314",130475862
"390","MA","Proprietary","1011",1731831
"391","MA","Proprietary","1112",1713456
"392","MA","Proprietary","1213",1312766
"393","MA","Proprietary","1314",1101448
"394","MA","Public","1011",27225474
"395","MA","Public","1112",30162586
"396","MA","Public","1213",29844135
"397","MA","Public","1314",31032332
"398","MD","Private","1011",14940137
"399","MD","Private","1112",14827539
"400","MD","Private","1213",15417921
"401","MD","Private","1314",18343788
"402","MD","Proprietary","1011",2122141
"403","MD","Proprietary","1112",1837056
"404","MD","Proprietary","1213",1524094
"405","MD","Proprietary","1314",1334526
"406","MD","Public","1011",27845396
"407","MD","Public","1112",25693704
"408","MD","Public","1213",25968200
"409","MD","Public","1314",28042415
"410","ME","Private","1011",10854801
"411","ME","Private","1112",9730056
"412","ME","Private","1213",10724839
"413","ME","Private","1314",10871948
"414","ME","Proprietary","1011",320394
"415","ME","Proprietary","1112",164752
"416","ME","Proprietary","1213",169811
"417","ME","Proprietary","1314",125303
"418","ME","Public","1011",17382326
"419","ME","Public","1112",18090490
"420","ME","Public","1213",17957992
"421","ME","Public","1314",17927635
"422","MI","Private","1011",29935763
"423","MI","Private","1112",30789638
"424","MI","Private","1213",29190788
"425","MI","Private","1314",29219813
"426","MI","Proprietary","1011",2663619
"427","MI","Proprietary","1112",2321062
"428","MI","Proprietary","1213",1568374
"429","MI","Proprietary","1314",1460624
"430","MI","Public","1011",69881242
"431","MI","Public","1112",75343132
"432","MI","Public","1213",77109400
"433","MI","Public","1314",77455042
"434","MN","Private","1011",31010949
"435","MN","Private","1112",32113177
"436","MN","Private","1213",33682134
"437","MN","Private","1314",33756378
"438","MN","Proprietary","1011",6409910
