"","State","School.Type","Year","Sum.Type.loan","Sum.Type.grant","Total.Disbursement"
"395","ME","Public","1112",204417074,79091523,283508597
"396","ME","Public","1213",203575886,80030660,283606546
"397","MI","Private","1011",1019571116,224623143.05,1244194259.05
"398","MI","Private","1112",978276319,199045064.2,1177321383.2
"399","MI","Private","1213",910118097,182569402.82,1092687499.82
"400","MI","Private","1314",885823413,181333909.46,1067157322.46
"401","MI","Private","1415",777378251,162787596.92,940165847.92
"402","MI","Private","1516",561344063,108703897.78,670047960.78
"403","MI","Proprietary","1314",120625899,65199249.37,185825148.37
"404","MI","Proprietary","1415",110655780,61914485.23,172570265.23
"405","MI","Proprietary","1516",53413797,42777095.75,96190892.75
"406","MI","Proprietary","1011",161359307,95706322.66,257065629.66
"407","MI","Proprietary","1112",143471951,84804890.93,228276841.93
"408","MI","Proprietary","1213",137651835,81508225.76,219160060.76
"409","MI","Public","1314",2289968326,715821808.18,3005790134.18
"410","MI","Public","1415",2180767736,672006748.58,2852774484.58
"411","MI","Public","1516",1900964512,573676423.88,2474640935.88
"412","MI","Public","1011",2585058243,888056934.28,3473115177.28
"413","MI","Public","1112",2447379848,809752390.89,3257132238.89
"414","MI","Public","1213",2237244704,755999670.74,2993244374.74
"415","MN","Private","1011",546193996,70029850.3,616223846.3
"416","MN","Private","1112",543238280,61212430.55,604450710.55
"417","MN","Private","1213",530318313,61765788.28,592084101.28
"418","MN","Private","1314",518942086,61098445.77,580040531.77
"419","MN","Private","1415",508846169,58921313.83,567767482.83
"420","MN","Private","1516",418870386,54356447.62,473226833.62
"421","MN","Proprietary","1314",1593225065,140837824.71,1734062889.71
"422","MN","Proprietary","1415",1571359408,130179721.9,1701539129.9
"423","MN","Proprietary","1516",914688871,92376135.01,1007065006.01
"424","MN","Proprietary","1011",1760135859,193548514.39,1953684373.39
"425","MN","Proprietary","1112",1643869165,161364471.28,1805233636.28
"426","MN","Proprietary","1213",1609839129,149150666.68,1758989795.68
"427","MN","Public","1314",1104306991,328374742.15,1432681733.15
"428","MN","Public","1415",1015002897,310134593.76,1325137490.76
"429","MN","Public","1516",902772839,272719729.95,1175492568.95
"430","MN","Public","1011",1168697628,368348039.21,1537045667.21
"431","MN","Public","1112",1199219710,344159759.2,1543379469.2
"432","MN","Public","1213",1154624805,344278704.31,1498903509.31
"433","MO","Private","1011",1208123921,156006728.97,1364130649.97
"434","MO","Private","1112",1205266705,154380909.44,1359647614.44
"435","MO","Private","1213",1166889529,153774428.27,1320663957.27
"436","MO","Private","1314",1128351018,154109662.04,1282460680.04
"437","MO","Private","1415",1070551263,148612272.41,1219163535.41
"438","MO","Private","1516",943772616,129949589.36,1073722205.36
"439","MO","Proprietary","1314",146223422,67354265.5,213577687.5
"440","MO","Proprietary","1415",119720615,59635217.14,179355832.14
